link,status
https://www.buyacar.co.uk/ford_mondeo_diesel_hatchback/deal_2_0_tdci_180_titanium_5dr_1978883.jhtml,1
https://www.buyacar.co.uk/volvo_xc60_diesel_estate/deal_2_0_d4_r_design_pro_5dr_awd_geartronic_1928985.jhtml,1
https://www.buyacar.co.uk/volvo_xc60_diesel_estate/deal_2_0_d4_r_design_pro_5dr_awd_geartronic_1889447.jhtml,1
https://www.buyacar.co.uk/volvo_xc60_diesel_estate/deal_2_0_d4_r_design_pro_5dr_awd_geartronic_1964153.jhtml,1
https://www.buyacar.co.uk/vans/ford/transit-connect/transit-connect-240-l2/1-6-tdci-115ps-limited-van-26695/deal-1996680,1
https://www.buyacar.co.uk/vans/ford/transit-custom/transit-custom-290-l1-fwd/2-0-tdci-130ps-low-roof-limited-van-35811/deal-1996149,1
https://www.buyacar.co.uk/ford_mondeo_diesel_hatchback/deal_2_0_tdci_180_titanium_5dr_1793858.jhtml,1
https://www.buyacar.co.uk/ford_mondeo_diesel_hatchback/deal_2_0_tdci_180_titanium_5dr_1678075.jhtml,1
https://www.buyacar.co.uk/lexus/nx/nx-estate/300h-2-5-sport-5dr-cvt-premium-nav-84491/deal-1997594,1
https://www.buyacar.co.uk/kia_stonic_estate_special_edition/deal_1_6_crdi_first_edition_5dr_1986610.jhtml,1
https://www.buyacar.co.uk/,0
https://www.buyacar.co.uk/bmw_3_series_diesel_saloon/car_330d_m_sport_4dr_step_auto_161823.jhtml,0
https://www.buyacar.co.uk/volkswagen_passat_diesel_estate/car_2_0_tdi_r_line_5dr_dsg_panoramic_roof_7_speed__186587.jhtml,0
https://www.buyacar.co.uk/kia_stonic_estate_special_edition/car_1_0t_gdi_first_edition_5dr_185489.jhtml,0
https://www.buyacar.co.uk/volvo_xc60_diesel_estate/car_2_0_d4_r_design_pro_5dr_awd_geartronic_181817.jhtml,0
https://www.buyacar.co.uk/how-it-works,0
https://www.buyacar.co.uk/how-it-works/finance-options,0
https://www.buyacar.co.uk/cars,0
https://www.buyacar.co.uk/vans,0
https://www.buyacar.co.uk/how-it-works/about,0
