link,status
https://www.usedcars.com/vehicle-details/240165915/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/245112241/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/240695493/?zipcode=90064&id=33378,1
https://www.usedcars.com/vehicle-details/244037666/?zipcode=90064&id=33378,1
https://www.usedcars.com/vehicle-details/242444632/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/229000656/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/235349900/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/236409907/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/244808523/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/vehicle-details/244802264/?id=33378&prev=srp&zipcode=90064,1
https://www.usedcars.com/,0
https://www.usedcars.com/best-cars/gas-mileage/,0
https://www.usedcars.com/best-cars/gas-mileage/hatchbacks/,0
https://www.usedcars.com/advice/car-tips/how-to-negotiate-a-private-party-used-car-sale-3318/,0
https://www.usedcars.com/car-type/,0
https://www.usedcars.com/car-type/electrics/,0
https://www.usedcars.com/car-type/full-size/,0
https://www.usedcars.com/certified-pre-owned/,0
https://www.usedcars.com/find/,0
https://www.usedcars.com/car-type/convertibles/,0
